car_id;car_class_id;team_id;driver_id;name;rating_old
72;473;-78806;292120;Domingos Coragem;1331
72;473;-78806;35771;Ricardo P Silva;2862
72;473;-78806;76321;Fausto Bessa Gomes;2168
72;473;-78806;77191;Gustavo Gomes;1837
72;473;-79292;-79292;Tuk Tuk Patrol;0
72;473;-79292;120909;Jan Van De Poel;3360
72;473;-79292;158121;Peter Grouwels;3136
72;473;-79292;25253;Wim Stockmans;4172
72;473;-79292;257388;Anton Dupan;1869
72;473;-79292;31526;Marcel Van Der Linden;2886
72;473;-79292;47666;Ief Vangenechten;5723
72;473;-81269;-81269;Aurys racing team;0
72;473;-81269;190975;Santi Zerpa;1670
72;473;-81269;219146;Juan Gimenez;2725
72;473;-81269;224389;Javier Morell;1208
72;473;-81269;228401;Antonio Jose Pina Vives;2177
72;473;-81269;230944;Jose Manuel Darias;1876
72;473;-81269;279425;Daniel Casas;3287
72;473;-81269;293801;Jose Antonio Saez;1735
72;473;-81269;295935;Marcos Landa;3045
72;473;-81269;314335;Enrique Yusta;2919
70;77;-84875;-84875;Ether Sim Sport SR247;0
70;77;-84875;133500;Daniel Snørteland;2135
70;77;-84875;25684;Kevin O'Keefe;2858
70;77;-84875;277186;Samuel Prince;2756
70;77;-84875;287129;Ieuan Meredith;2238
102;100;-86236;-86236;Rebellion iRacing Team #Black;0
102;100;-86236;221010;Kelian Tocqueville;3984
102;100;-86236;281664;Sebastien Mallet;3096
102;100;-86236;296447;Dario Sullo;2366
102;100;-86236;300677;Alfonso Asenjo;2405
102;100;-86236;329766;Maxime DUVAL;2686
102;100;-86236;337108;Frédéric Paolino;2851
93;100;-86294;-86294;FT One Motorsport;0
93;100;-86294;111895;Mike Theunissen;5538
93;100;-86294;146418;Elliot Dorrough;3328
93;100;-86294;302789;Aron Stanley2;3595
70;77;-86646;-86646;PRODRIVESHOP IRACING TEAM 24H;0
70;77;-86646;152451;Franco Scuri;2193
70;77;-86646;219238;Ivo Andreini;1596
70;77;-86646;229535;Claudio Perrucci2;2538
70;77;-86646;251340;Andrea Albertinelli;2379
70;77;-86646;295130;Gregorio Buscemi;2213
102;100;-88304;-88304;World of SimRacing Team;0
102;100;-88304;171651;Borja Garcia;1961
102;100;-88304;216788;Ruben Escriba Raluy;2038
102;100;-88304;226036;Diego Vázquez Dueñas;2088
102;100;-88304;297288;Nicolás Pacheco;1242
102;100;-88304;301109;Daniel Jerez Juan;3984
102;100;-88304;322881;Gorka Lucena Martinez;2524
102;100;-91615;-91615;SimAcademy Black;0
102;100;-91615;173448;Tauras Tunyla;3476
102;100;-91615;241533;Ignas Abeciunas;2622
102;100;-91615;253954;Martynas Sidunovas;3912
102;100;-91615;345994;Dovydas Labutis;1758
72;473;-92574;-92574;Salami Sim Racing;0
72;473;-92574;176563;Glenn Hancox;2485
72;473;-92574;189390;Benjamin Lee;1395
72;473;-92574;339514;Aaron M Borg;2341
93;100;-93998;-93998;Maniti Racing Orange;0
93;100;-93998;235347;Nathan Amess;1604
93;100;-93998;301180;Florian Heer;2004
93;100;-93998;302270;Tim Matzke;4354
93;100;-93998;45878;Chris Redman;3521
93;100;-93998;61807;Paul Joslin;3600
70;77;-94944;-94944;PCDC Motorsports Yellow;0
70;77;-94944;289492;Senne Stofmeel2;1975
70;77;-94944;313035;Sjoerd van der Heide;2123
70;77;-94944;328616;Florian Denzler;2181
70;77;-94944;329677;Gian Luca Mateo;2402
70;77;-96218;-96218;ACTION! Simsport- Team Prestige;0
70;77;-96218;129961;Daniel B Johnson;2078
70;77;-96218;147571;Tucker Minter;2388
70;77;-96218;175005;Charles Thom;2452
70;77;-96218;23653;John Keefe;2621
93;100;-97541;-97541;One Performance Racing GTE #243;0
93;100;-97541;149741;Tyson McEvoy;1479
93;100;-97541;192068;Scotty Harris;2562
93;100;-97541;271025;Jordan McDonnell;3437
93;100;-97541;31034;Dylan Shepherd;3943
70;77;-97673;-97673;Kyote Racing Endurance;0
70;77;-97673;143911;Jakob Schulze;1698
70;77;-97673;158542;Gerrit Winter;2191
